lead_id,contact_id,campaign_id,lead_owner,email_clean,phone_clean,phone_valid,phone_issue,phone_source,phone_extension,company_clean,source_final,lead_status_clean,campaign_name,campaign_channel,campaign_source,lead_created_at,lead_converted_at,campaign_start_date,campaign_end_date,first_activity_date,last_activity_date,total_activities,unique_campaigns_count,activity_types_count,email_valid,has_contact,has_campaign,has_source,has_company,has_activity,lead_created_valid,lead_created_future,duplicate_email,duplicate_phone,duplicate_company_name,is_duplicate,missing_critical_fields_count,quality_score,quality_level,campaign_ready,campaign_ready_label,cleaning_priority
15,,155,Non renseigne,sarah.brown15@nexgensolutions.com,,False,Téléphone manquant,lead,,NexGen Solutions,paid search,disqualified,FY2024 Brand Awareness - Paid Social,paid social,paid social,2023-12-13 00:00:00,,2024-09-27 00:00:00,2024-10-08 00:00:00,2023-07-22 08:00:00,2024-10-01 19:17:00,4.0,4.0,3.0,True,False,True,True,True,True,True,False,False,False,True,False,1,75,Correct,True,Oui,Priorité faible
16,,57,Non renseigne,michael.hernandez16@corestack.com,,False,Téléphone manquant,lead,,CoreStack,social media,disqualified,Product Launch Campaign - Organic Search,organic search,organic search,2024-07-23 00:00:00,,2024-09-27 00:00:00,2024-12-14 00:00:00,2021-07-18 12:02:00,2024-11-18 00:41:00,3.0,3.0,3.0,True,False,True,True,True,True,True,False,False,False,False,False,1,75,Correct,True,Oui,Priorité faible
17,,71,Non renseigne,jessica.wilson17@pulsepointdigital.com,,False,Téléphone manquant,lead,,PulsePoint Digital,outbound sdr,new,ABM Campaign - Email,email,email,2022-04-20 00:00:00,,2024-02-26 00:00:00,2024-03-05 00:00:00,2020-06-05 08:30:00,2030-03-15 14:30:00,9.0,9.0,2.0,True,False,True,True,True,True,True,False,False,False,False,False,1,75,Correct,True,Oui,Priorité faible
18,,84,Non renseigne,christopher.thompson18@insightplatforms.com,,False,Téléphone manquant,lead,,Insight Platforms,outbound cold,sql,FY2024 Product Launch - Webinar,webinar,webinar,2020-06-02 00:00:00,,2024-05-21 00:00:00,2024-06-28 00:00:00,2021-08-18 01:40:00,2024-06-24 04:22:00,5.0,4.0,4.0,True,False,True,True,True,True,True,False,False,False,True,False,1,75,Correct,True,Oui,Priorité faible
19,,,Non renseigne,linda.brown19@scaleupsystems.com,,False,Téléphone manquant,lead,,ScaleUp Systems,inbound web,mql,,,,2024-12-21 00:00:00,,,,,,0.0,0.0,0.0,True,False,False,True,True,False,True,False,False,False,False,False,2,65,Correct,True,Oui,Priorité faible
20,,54,Non renseigne,richard.williams20@metasync.com,,False,Téléphone manquant,lead,,MetaSync,social media,mql,Paid Search - Nurture - Q4 2022,,,2020-03-07 00:00:00,,2022-11-30 00:00:00,2023-01-16 00:00:00,2020-01-23 08:28:00,2022-12-31 04:05:00,4.0,4.0,3.0,True,False,True,True,True,True,True,False,False,False,True,False,1,75,Correct,True,Oui,Priorité faible
21,,157,Non renseigne,betty.white@piedpiper.com,,False,Téléphone manquant,contact,,Insight Platforms,paid search,converted,ABM Campaign - Direct Mail,direct mail,direct mail,2022-03-24 00:00:00,2022-06-10 00:00:00,2023-10-30 00:00:00,2024-02-15 00:00:00,2020-09-17 09:09:00,2023-12-27 12:55:00,3.0,3.0,2.0,True,False,True,True,True,True,True,False,False,False,False,False,1,75,Correct,True,Oui,Priorité faible
22,,14,Non renseigne,michael.davis22@futureforge.com,,False,Téléphone manquant,lead,,FutureForge,inbound content,new,Nurture Campaign - Direct Mail,direct mail,direct mail,2021-11-17 00:00:00,,2024-08-01 00:00:00,2024-11-09 00:00:00,2020-08-07 23:01:00,2024-10-05 02:16:00,7.0,6.0,4.0,True,False,True,True,True,True,True,False,False,False,False,False,1,75,Correct,True,Oui,Priorité faible
23,,68,Non renseigne,robert.anderson23@cloudscalesystems.com,,False,Téléphone manquant,lead,,CloudScale Systems,partner referral,nurture,ABM Campaign - Paid Search,paid search,paid search,2022-02-26 00:00:00,,2024-08-10 00:00:00,2024-11-12 00:00:00,2021-08-20 16:45:00,2024-10-27 06:54:00,3.0,3.0,2.0,True,False,True,True,True,True,True,False,False,False,False,False,1,75,Correct,True,Oui,Priorité faible
24,,136,Non renseigne,lisa.wilson24@futureforge.com,,False,Téléphone manquant,lead,,FutureForge,paid search,new,Paid Search - Thought Leadership - Q3 2024,paid search,paid search,2024-11-11 00:00:00,,2024-07-06 00:00:00,2024-08-05 00:00:00,2020-12-27 04:10:00,2024-07-26 23:16:00,3.0,3.0,2.0,True,False,True,True,True,True,True,False,False,False,True,False,1,75,Correct,True,Oui,Priorité faible
25,,158,Non renseigne,daniel.davis,,False,Téléphone manquant,lead,,Insight Platforms,product led,new,Event Promotion Campaign - Referral,referral,referral,2023-03-25 00:00:00,,2024-05-20 00:00:00,2024-08-09 00:00:00,2022-02-26 11:21:00,2024-08-27 18:52:00,5.0,4.0,5.0,False,False,True,True,True,True,True,False,False,False,False,False,2,50,À corriger,False,Non,Priorité moyenne
26,,6,Non renseigne,christopher.miller26@streamlineanalytics.com,,False,Téléphone manquant,lead,,StreamLine Analytics,inbound web,new,Email - Brand Awareness - Q4 2023,email,email,2024-02-04 00:00:00,,2023-12-31 00:00:00,2024-04-28 00:00:00,2020-04-11 14:21:00,2024-04-13 20:52:00,4.0,4.0,2.0,True,False,True,True,True,True,True,False,False,False,False,False,1,75,Correct,True,Oui,Priorité faible
27,,71,Non renseigne,thomas.martinez27@scaleupsystems.com,,False,Téléphone manquant,lead,,ScaleUp Systems,inbound content,working,ABM Campaign - Email,email,email,2024-12-28 00:00:00,,2024-02-26 00:00:00,2024-03-05 00:00:00,2020-07-19 20:44:00,2024-03-05 03:21:00,4.0,3.0,3.0,True,False,True,True,True,True,True,False,False,False,False,False,1,75,Correct,True,Oui,Priorité faible
28,,,Non renseigne,sarah.perez@acme.com,,False,Format possible mais numéro non validé,contact,,CoreStack,social media,converted,,,,2024-05-23 00:00:00,2024-07-02 00:00:00,,,,,0.0,0.0,0.0,True,False,False,True,True,False,True,False,False,False,False,False,2,65,Correct,True,Oui,Priorité faible
29,,66,Non renseigne,joseph.moore29@brightwavetech.com,,False,Téléphone manquant,lead,,BrightWave Tech,webinar,sql,Webinar - Thought Leadership - Q4 2024,webinar,webinar,2020-09-11 00:00:00,,2024-10-04 00:00:00,2025-01-14 00:00:00,2020-04-01 13:13:00,2024-12-13 16:59:00,4.0,4.0,4.0,True,False,True,True,True,True,True,False,False,False,False,False,1,75,Correct,True,Oui,Priorité faible
30,,124,Non renseigne,karen.davis30@innovateco.com,,False,Téléphone manquant,lead,,InnovateCo,product led,sql,Event - Event Promotion - Q3 2024,event,event,2021-09-16 00:00:00,,2024-09-12 00:00:00,2024-12-14 00:00:00,2020-02-17 16:38:00,2024-10-26 18:49:00,5.0,4.0,5.0,True,False,True,True,True,True,True,False,False,False,True,False,1,75,Correct,True,Oui,Priorité faible
31,,74,Non renseigne,david.martin31@agiledynamics.com,,False,Téléphone manquant,lead,,Agile Dynamics,product led,sql,Direct Mail - Demand Gen - Q1 2021,direct mail,direct mail,2022-07-01 00:00:00,,2021-03-26 00:00:00,2021-07-19 00:00:00,2020-06-04 10:07:00,2021-06-28 02:36:00,2.0,2.0,2.0,True,False,True,True,True,True,True,False,False,False,False,False,1,75,Correct,True,Oui,Priorité faible
32,,21,Non renseigne,susan.martinez32@quantumlogiclabs.com,,False,Téléphone manquant,lead,,QuantumLogic Labs,paid social,working,Paid Social - Event Promotion - Q3 2024,paid social,paid social,2022-07-03 00:00:00,,2024-08-23 00:00:00,2024-09-22 00:00:00,2022-02-02 09:45:00,2024-09-07 10:48:00,3.0,3.0,3.0,True,False,True,True,True,True,True,False,False,False,True,False,1,75,Correct,True,Oui,Priorité faible
33,,21,Non renseigne,lisa.martinez33@innovateco.com,,False,Téléphone manquant,lead,,InnovateCo,product led,new,Paid Social - Event Promotion - Q3 2024,paid social,paid social,2020-12-09 00:00:00,,2024-08-23 00:00:00,2024-09-22 00:00:00,2020-05-13 19:25:00,2024-09-12 07:25:00,4.0,4.0,3.0,True,False,True,True,True,True,True,False,False,False,True,False,1,75,Correct,True,Oui,Priorité faible
34,,130,Non renseigne,linda.thompson34@cybervault.com,,False,Téléphone manquant,lead,,CyberVault,inbound content,disqualified,FY2022 Event Promotion - Direct Mail,direct mail,direct mail,2024-07-02 00:00:00,,2022-06-25 00:00:00,2022-09-23 00:00:00,2021-03-31 11:05:00,2024-04-18 08:38:00,4.0,3.0,4.0,True,False,True,True,True,True,True,False,False,False,True,False,1,75,Correct,True,Oui,Priorité faible
35,,163,Non renseigne,elizabeth.jones35@insightplatforms.com,,False,Téléphone manquant,lead,,Insight Platforms,product led,disqualified,FY2021 Thought Leadership - Partner,partner,partner,2022-09-30 00:00:00,,2021-12-20 00:00:00,2022-04-04 00:00:00,2020-06-13 06:18:00,2022-04-04 07:40:00,3.0,3.0,2.0,True,False,True,True,True,True,True,False,False,False,False,False,1,75,Correct,True,Oui,Priorité faible
36,,16,Non renseigne,sarah.lopez36@nexgensolutions.com,,False,Téléphone manquant,lead,,NexGen Solutions,inbound web,new,FY2021 Nurture - Email,email,email,2024-04-26 00:00:00,,2021-11-18 00:00:00,2021-11-27 00:00:00,2021-11-18 07:55:00,2021-11-18 07:55:00,1.0,1.0,1.0,True,False,True,True,True,True,True,False,False,False,True,False,1,75,Correct,True,Oui,Priorité faible
37,,120,Non renseigne,joseph.smith37@cloudscalesystems.com,,False,Téléphone manquant,lead,,CloudScale Systems,paid search,disqualified,FY2022 Nurture - Organic Search,organic search,organic search,2021-10-29 00:00:00,,2022-12-13 00:00:00,2023-04-05 00:00:00,2021-07-12 12:02:00,2023-03-02 13:44:00,5.0,4.0,3.0,True,False,True,True,True,True,True,False,False,False,False,False,1,75,Correct,True,Oui,Priorité faible
38,,131,Non renseigne,lisa.lopez38@metasync.com,,False,Téléphone manquant,lead,,MetaSync,inbound webinar,disqualified,Organic Search - Event Promotion - Q4 2020,organic search,organic search,2023-05-15 00:00:00,,2020-11-07 00:00:00,2021-02-18 00:00:00,2020-05-06 15:40:00,2030-03-15 14:30:00,6.0,6.0,4.0,True,False,True,True,True,True,True,False,False,False,False,False,1,75,Correct,True,Oui,Priorité faible
39,,117,Non renseigne,elizabeth.taylor@umbrella.co,+15184875317,True,OK,contact,,VertexAI,inbound webinar,converted,ABM Campaign - Paid Search,paid search,paid search,2023-06-02 00:00:00,2023-07-10 00:00:00,2024-04-22 00:00:00,2024-08-01 00:00:00,2021-08-28 17:12:00,2024-05-23 22:17:00,5.0,5.0,4.0,True,False,True,True,True,True,True,False,False,False,True,False,0,90,Excellent,True,Oui,OK
40,,48,Non renseigne,charles.thomas40@metasync.com,,False,Téléphone manquant,lead,,MetaSync,product led,disqualified,Event - Event Promotion - Q2 2024,event,event,2024-02-07 00:00:00,,2024-04-14 00:00:00,2024-05-18 00:00:00,2024-03-31 23:46:00,2024-05-17 15:08:00,3.0,3.0,2.0,True,False,True,True,True,True,True,False,False,False,True,False,1,75,Correct,True,Oui,Priorité faible
41,,139,Non renseigne,steven.gonzalez@globex.com,+19715682118,True,OK,contact,,TrueNorth Data,product led,converted,Event Promotion Campaign - Paid Search,paid search,paid search,2024-08-27 00:00:00,2024-10-13 00:00:00,2022-06-23 00:00:00,2022-08-11 00:00:00,2022-08-09 03:22:00,2022-08-09 03:22:00,1.0,1.0,1.0,True,False,True,True,True,True,True,False,False,False,False,False,0,90,Excellent,True,Oui,OK
42,,6,Non renseigne,robert.martinez42@corestack.com,,False,Téléphone manquant,lead,,CoreStack,partner referral,sql,Email - Brand Awareness - Q4 2023,email,email,2022-05-01 00:00:00,,2023-12-31 00:00:00,2024-04-28 00:00:00,2021-05-16 05:02:00,2024-04-25 17:28:00,4.0,4.0,3.0,True,False,True,True,True,True,True,False,False,False,True,False,1,75,Correct,True,Oui,Priorité faible
43,,113,Non renseigne,richard.jones43@pulsepointdigital.com,,False,Téléphone manquant,lead,,PulsePoint Digital,event,new,Event Promotion Campaign - Webinar,webinar,webinar,2021-11-28 00:00:00,,2024-08-09 00:00:00,2024-11-11 00:00:00,2021-08-03 09:34:00,2024-08-18 08:07:00,5.0,5.0,1.0,True,False,True,True,True,True,True,False,False,False,True,False,1,75,Correct,True,Oui,Priorité faible
44,,57,Non renseigne,nancy.thomas44@brightwavetech.com,,False,Téléphone manquant,lead,,BrightWave Tech,product led,disqualified,Product Launch Campaign - Organic Search,organic search,organic search,2023-07-02 00:00:00,,2024-09-27 00:00:00,2024-12-14 00:00:00,2020-05-03 19:57:00,2030-03-15 14:30:00,6.0,6.0,4.0,True,False,True,True,True,True,True,False,False,False,False,False,1,75,Correct,True,Oui,Priorité faible
45,,136,Non renseigne,daniel.perez@umbrella.co,+15844445023,True,OK,contact,,FutureForge,paid search,converted,Paid Search - Thought Leadership - Q3 2024,paid search,paid search,2024-07-20 00:00:00,2024-09-02 00:00:00,2024-07-06 00:00:00,2024-08-05 00:00:00,2020-08-17 21:00:00,2024-07-28 01:46:00,6.0,6.0,4.0,True,False,True,True,True,True,True,False,False,False,False,False,0,90,Excellent,True,Oui,OK
46,,66,Non renseigne,william.davis46@pulsepointdigital.com,,False,Téléphone manquant,lead,,PulsePoint Digital,product led,working,Webinar - Thought Leadership - Q4 2024,webinar,webinar,2023-03-02 00:00:00,,2024-10-04 00:00:00,2025-01-14 00:00:00,2023-05-24 09:59:00,2024-10-11 21:27:00,2.0,2.0,1.0,True,False,True,True,True,True,True,False,False,False,False,False,1,75,Correct,True,Oui,Priorité faible
47,,21,Non renseigne,jennifer.smith47@primepathdigital.com,,False,Téléphone manquant,lead,,PrimePath Digital,social media,working,Paid Social - Event Promotion - Q3 2024,paid social,paid social,2024-08-08 00:00:00,,2024-08-23 00:00:00,2024-09-22 00:00:00,2021-08-29 23:56:00,2030-03-15 14:30:00,6.0,6.0,4.0,True,False,True,True,True,True,True,False,False,False,True,False,1,75,Correct,True,Oui,Priorité faible
48,,35,Non renseigne,thomas.anderson48@innovateco.com,,False,Téléphone manquant,lead,,InnovateCo,inbound web,working,Content Syndication - Event Promotion - Q2 2024,content syndication,content syndication,2023-08-03 00:00:00,,2024-06-07 00:00:00,2024-07-13 00:00:00,2020-05-31 00:47:00,2024-06-08 12:19:00,5.0,4.0,3.0,True,False,True,True,True,True,True,False,False,False,True,False,1,75,Correct,True,Oui,Priorité faible
49,,83,Non renseigne,jessica.martin49@scaleupsystems.com,,False,Téléphone manquant,lead,,ScaleUp Systems,event,mql,Event Promotion Campaign - Content Syndication,content syndication,content syndication,2020-12-12 00:00:00,,2023-03-30 00:00:00,2023-06-06 00:00:00,2020-04-17 01:02:00,2024-05-31 03:29:00,4.0,3.0,3.0,True,False,True,True,True,True,True,False,False,False,False,False,1,75,Correct,True,Oui,Priorité faible
50,,171,Non renseigne,betty.gonzalez@waystar.io,,False,Format possible mais numéro non validé,contact,,StreamLine Analytics,partner referral,converted,Brand Awareness Campaign - Content Syndication,content syndication,content syndication,2024-01-16 00:00:00,2024-02-02 00:00:00,2020-03-09 00:00:00,2020-04-11 00:00:00,2020-02-22 02:34:00,2030-03-15 14:30:00,4.0,4.0,3.0,True,False,True,True,True,True,True,False,False,False,False,False,1,75,Correct,True,Oui,Priorité faible
51,,93,Non renseigne,nancy.lopez51@insightplatforms.com,,False,Téléphone manquant,lead,,Insight Platforms,social media,mql,Event - Product Launch - Q4 2024,event,event,2020-12-26 00:00:00,,2024-10-25 00:00:00,2024-12-11 00:00:00,2020-04-23 08:47:00,2024-11-23 14:55:00,8.0,8.0,7.0,True,False,True,True,True,True,True,False,False,False,True,False,1,75,Correct,True,Oui,Priorité faible
52,,28,Non renseigne,david.garcia52@vertexai.com,,False,Téléphone manquant,lead,,VertexAI,inbound webinar,nurture,FY2024 Nurture - Paid Search,paid search,paid search,2021-03-07 00:00:00,,2024-12-29 00:00:00,2025-02-05 00:00:00,2021-03-13 18:31:00,2024-12-21 00:00:00,10.0,10.0,5.0,True,False,True,True,True,True,True,False,False,False,False,False,1,75,Correct,True,Oui,Priorité faible
53,,31,Non renseigne,elizabeth.johnson@piedpiper.com,+18437338962,True,OK,contact,,StreamLine Analytics,event,converted,Webinar - Demand Gen - Q3 2022,webinar,webinar,2024-11-04 00:00:00,2024-11-19 00:00:00,2022-08-24 00:00:00,2022-10-11 00:00:00,2021-08-28 20:03:00,2022-08-27 00:44:00,2.0,2.0,2.0,True,False,True,True,True,True,True,False,False,False,False,False,0,90,Excellent,True,Oui,OK
54,,37,Non renseigne,david.moore54@brightwavetech.com,,False,Téléphone manquant,lead,,BrightWave Tech,social media,mql,Product Launch Campaign - Email,email,email,2022-03-23 00:00:00,,2024-10-25 00:00:00,2025-01-11 00:00:00,2020-04-17 06:11:00,2024-11-29 02:25:00,3.0,3.0,3.0,True,False,True,True,True,True,True,False,False,False,True,False,1,75,Correct,True,Oui,Priorité faible
55,,107,Non renseigne,karen.taylor55@brightwavetech.com,,False,Téléphone manquant,lead,,BrightWave Tech,outbound sdr,mql,Paid Social - ABM - Q3 2021,paid social,paid social,2022-04-21 00:00:00,,2021-07-25 00:00:00,2021-10-03 00:00:00,2020-01-24 14:03:00,2021-08-22 06:07:00,6.0,6.0,3.0,True,False,True,True,True,True,True,False,False,False,False,False,1,75,Correct,True,Oui,Priorité faible
56,,74,Non renseigne,michael.davis,,False,Téléphone manquant,lead,,Insight Platforms,social media,new,Direct Mail - Demand Gen - Q1 2021,direct mail,direct mail,2023-09-12 00:00:00,,2021-03-26 00:00:00,2021-07-19 00:00:00,2020-05-03 15:24:00,2030-03-15 14:30:00,8.0,8.0,5.0,False,False,True,True,True,True,True,False,False,False,False,False,2,50,À corriger,False,Non,Priorité moyenne
57,,14,Non renseigne,thomas.lee,,False,Téléphone manquant,contact,,PrimePath Digital,paid search,converted,Nurture Campaign - Direct Mail,direct mail,direct mail,2024-09-17 00:00:00,2024-10-16 00:00:00,2024-08-01 00:00:00,2024-11-09 00:00:00,2024-09-01 23:43:00,2024-09-01 23:43:00,1.0,1.0,1.0,False,False,True,True,True,True,True,False,False,False,True,False,2,50,À corriger,False,Non,Priorité moyenne
58,,158,Non renseigne,barbara.williams58@cloudscalesystems.com,,False,Téléphone manquant,lead,,CloudScale Systems,inbound web,nurture,Event Promotion Campaign - Referral,referral,referral,2020-11-14 00:00:00,,2024-05-20 00:00:00,2024-08-09 00:00:00,2021-10-28 22:04:00,2024-07-30 13:16:00,3.0,2.0,3.0,True,False,True,True,True,True,True,False,False,False,False,False,1,75,Correct,True,Oui,Priorité faible
59,,54,Non renseigne,christopher.gonzalez59@primepathdigital.com,,False,Téléphone manquant,lead,,PrimePath Digital,inbound content,sql,Paid Search - Nurture - Q4 2022,,,2021-10-14 00:00:00,,2022-11-30 00:00:00,2023-01-16 00:00:00,2021-08-24 08:16:00,2022-11-30 02:12:00,3.0,3.0,2.0,True,False,True,True,True,True,True,False,False,False,True,False,1,75,Correct,True,Oui,Priorité faible
60,,185,Non renseigne,christopher.miller,,False,Téléphone manquant,lead,,MetaSync,paid search,mql,FY2021 Thought Leadership - Webinar,webinar,webinar,2021-05-29 00:00:00,,2021-08-08 00:00:00,2021-09-30 00:00:00,2021-01-10 15:50:00,2021-09-10 12:54:00,3.0,3.0,1.0,False,False,True,True,True,True,True,False,False,False,True,False,2,50,À corriger,False,Non,Priorité moyenne
61,,21,Non renseigne,susan.martin61@agiledynamics.com,,False,Téléphone manquant,lead,,Agile Dynamics,outbound sdr,disqualified,Paid Social - Event Promotion - Q3 2024,paid social,paid social,2024-04-01 00:00:00,,2024-08-23 00:00:00,2024-09-22 00:00:00,2021-12-27 16:11:00,2024-08-29 04:54:00,3.0,3.0,3.0,True,False,True,True,True,True,True,False,False,False,True,False,1,75,Correct,True,Oui,Priorité faible
62,,14,Non renseigne,thomas.johnson62@innovateco.com,,False,Téléphone manquant,lead,,InnovateCo,outbound cold,disqualified,Nurture Campaign - Direct Mail,direct mail,direct mail,2021-02-24 00:00:00,,2024-08-01 00:00:00,2024-11-09 00:00:00,2022-10-02 02:15:00,2024-10-28 11:34:00,4.0,3.0,3.0,True,False,True,True,True,True,True,False,False,False,False,False,1,75,Correct,True,Oui,Priorité faible
63,,50,Non renseigne,david.smith63@streamlineanalytics.com,,False,Téléphone manquant,lead,,StreamLine Analytics,outbound sdr,mql,Nurture Campaign - Webinar,webinar,webinar,2020-07-13 00:00:00,,2023-03-01 00:00:00,2023-06-27 00:00:00,2024-01-25 05:16:00,2030-03-15 14:30:00,2.0,2.0,2.0,True,False,True,True,True,True,True,False,False,False,True,False,1,75,Correct,True,Oui,Priorité faible
64,,129,Non renseigne,jennifer.thomas64@pulsepointdigital.com,,False,Téléphone manquant,lead,,PulsePoint Digital,inbound content,mql,Brand Awareness Campaign - Referral,referral,referral,2020-09-24 00:00:00,,2023-09-12 00:00:00,2023-11-02 00:00:00,2020-09-14 04:02:00,2023-10-14 01:59:00,5.0,5.0,3.0,True,False,True,True,True,True,True,False,False,False,False,False,1,75,Correct,True,Oui,Priorité faible
65,,23,Non renseigne,lisa.williams65@cybervault.com,,False,Téléphone manquant,lead,,CyberVault,inbound content,mql,Brand Awareness Campaign - Partner,partner,partner,2024-11-27 00:00:00,,2021-05-05 00:00:00,2021-08-04 00:00:00,2023-02-17 23:16:00,2030-03-15 14:30:00,5.0,4.0,4.0,True,False,True,True,True,True,True,False,False,False,False,False,1,75,Correct,True,Oui,Priorité faible
